date,AI,DBSI,NDVI,NDWI,NDBI,NDSI,SAVI ,TGSI,SPI,Tmean
01/01/1990,0.033594884,0.102976496,0.016185897,-0.264504274,0.042145299,-0.161858974,0.010791453,0.166363248,0,15.38333333
01/02/1990,0.858962543,-0.027111111,0.243976191,-0.116706349,-0.065892857,-0.243976191,0.10031746,0.080428571,0,16.25
01/03/1990,0.043664253,-0.038177778,0.145794444,-0.2835,-0.024222222,-0.245794444,0.017041111,0.171566667,1.103953856,19.93333333
01/04/1990,0.056078603,0.109484848,0.119944444,-0.229060606,0.041080808,-0.119944444,0.086767677,0.15679798,1.055532986,27.2
01/05/1990,0.013029079,0.159555556,0.091021012,-0.261343254,0.079238095,-0.10210119,0.077640873,0.183299603,-0.503680213,34.46666667
01/06/1990,0.035423699,0.121333333,0.086746032,-0.20747619,0.050325397,-0.086746032,0.067920635,0.149095238,-0.71300103,34.96666667
01/07/1990,0.170213508,-0.014981481,0.053300926,-0.061087963,-0.040407407,-0.104730093,0.10458,0.037800926,-0.796459957,33.75
01/08/1990,0.079378801,0.024361111,0.185752525,-0.209282828,-0.03260101,-0.185752525,0.013920455,0.125386364,-0.78709599,32.86666667
01/09/1990,0.060826457,-0.001357143,0.205198413,-0.203428571,-0.066873016,-0.205198413,0.015430159,0.165738095,-0.669732384,31.31666667
01/10/1990,0.01,0.052183333,0.152188333,-0.087202778,-0.014386111,-0.1749,0.010408611,0.174169444,-0.47541219,25.1
01/11/1990,0.074524751,0.107894722,0.180744841,-0.258324802,0.009384325,-0.180144841,0.012429702,0.159219246,-0.024366064,21.05
01/12/1990,0.169250067,0.143972222,0.193527778,-0.277083333,0.069222222,-0.233527778,0.109069444,0.183666667,0.627381133,15.38333333
01/01/1991,0.006145329,0.149270833,0.064541667,-0.2665,0.035583333,-0.164541667,0.011329167,0.171958333,-0.326409001,13.13333333
01/02/1991,0.014829137,-0.064597222,0.081680556,-0.166527778,-0.10325,-0.081680556,0.061027778,0.029402778,-0.439502201,15.25
01/03/1991,0.006656816,0.004220238,0.049827381,-0.153755952,-0.056773809,-0.149827381,0.010258929,0.108690476,-1.801494663,20.61666667
01/04/1991,0.259198015,-0.012325833,0.139844444,-0.102288889,0.049844444,-0.139844444,0.094938889,0.17045,0.512933233,25.83333333
01/05/1991,0.072223604,0.118625,0.094125,-0.212333333,0.045270833,-0.094125,0.06925,0.152875,0.867784838,31.68333333
01/06/1991,0.027613319,0.1019375,0.0849825,-0.2589375,0.032479167,-0.124020833,0.063333333,0.170916667,0.628589548,35.2
01/07/1991,0.001504484,0.107415,0.084504444,-0.257761111,0.010305556,-0.117294444,0.089255556,0.158433333,-1.15688504,35.75
01/08/1991,0.004352614,0.104866667,0.160208333,-0.208291667,-0.012958333,-0.160208333,0.012075,0.1575,-2.431649033,32.83333333
01/09/1991,0.00221494,0.103321368,0.013634594,-0.263055556,-0.027175214,-0.197084402,0.010225491,0.156413462,-2.561056926,30.58333333
01/10/1991,0.04070482,0.066474747,0.161815152,-0.220555556,0.003893939,-0.182651515,0.094010101,0.158277778,-1.574826281,24.96666667
01/11/1991,0.01,0.092035714,0.012946611,-0.285733333,0.026928571,-0.161111111,0.078699603,0.161613095,-0.736261076,20.73333333
01/12/1991,0.071515583,0.012643434,0.094839394,-0.107061616,-0.027549495,-0.094839394,0.068013131,0.089670707,-0.378517482,16.41666667
01/01/1992,0.566796013,-0.093266667,0.093916667,-0.18625,0.033283333,-0.293916667,0.206801667,0.108683333,1.5257546,14.16666667
01/02/1992,0.129073839,0.060079365,0.173970238,-0.233740079,0.004936508,-0.173970238,0.12189881,0.157609127,1.355799413,16.05
01/03/1992,0.081914435,-0.07865,0.135261111,-0.256244445,-0.109461111,-0.135261111,0.010525,0.073672222,-1.072065135,20.6
01/04/1992,0.031282344,0.099466667,0.10865,-0.207316667,0.030833333,-0.10865,0.078983333,0.144333333,-0.035169608,25.63333333
01/05/1992,0.023861432,0.110898148,0.086342593,-0.19687037,0.03925,-0.086342593,0.066861111,0.159351852,-0.140408554,31.53333333
01/06/1992,0.001455842,0.118239316,0.08282906,-0.241044444,0.048363248,-0.116162393,0.064376068,0.159965812,-1.154881963,35.86666667
01/07/1992,0.208886196,0.077711111,0.104666667,-0.182122222,0.017288889,-0.104666667,0.208032778,0.151344444,-0.495134628,33.05
01/08/1992,0.671696352,-0.028527778,0.202388889,0.173,-0.082805556,-0.202388889,0.148541667,0.153722222,0.525124609,31.68333333
01/09/1992,0.641799825,-0.033590909,0.276520202,0.124254798,-0.086356061,-0.276520202,0.208641414,0.163588384,1.160702985,29.23333333
01/10/1992,0.002602558,0.102152525,0.021006566,-0.264467172,-0.037848485,-0.24339899,0.012315202,0.165169192,-1.304676873,25.95
01/11/1992,0.012808371,0.057694444,0.018227778,-0.239138889,-0.000833333,-0.282277778,0.088688889,0.151486111,-1.128861437,20.28333333
01/12/1992,0.008946269,0.109421978,0.011433669,-0.249471306,0.033206349,-0.255740537,0.073532723,0.150828449,-0.080583143,16.85
01/01/1993,0.160251395,0.069131313,0.14950505,-0.218545455,0.009979798,-0.14950505,0.104393939,0.150712121,0.0871486,13.61666667
01/02/1993,0.026755849,0.006529915,0.166271367,-0.172344017,-0.039988248,-0.166271367,0.01212468,0.12166453,-0.366457792,18.31666667
01/03/1993,0.184291372,-0.013395833,0.171125,-0.157083333,-0.062708333,-0.171125,0.124708333,0.093354167,0.162738298,19.93333333
01/04/1993,0.010778281,0.054583333,0.150125,-0.203666667,-0.011458333,-0.150125,0.010929167,0.1365,-0.128437178,28.13333333
01/05/1993,0.201208133,-0.013677083,0.107104167,-0.2434375,0.0579375,-0.107104167,0.108141667,0.1785625,0.890360565,34.1
01/06/1993,0.082631379,0.08918254,0.01020873,-0.190452381,0.006388889,-0.135420635,0.07752381,0.13034127,-0.324749099,34.88333333
01/07/1993,0.564607344,-0.06380202,0.143290909,0.120630909,-0.001620202,-0.143290909,0.10839899,0.157656566,1.20528016,32.56666667
01/08/1993,0.010023373,0.00885,0.182261111,-0.190544444,-0.046116667,-0.182261111,0.013982778,0.143055556,0.398156727,32.81666667
01/09/1993,0.006586922,0.162008,0.026893333,-0.260633333,-0.063033333,-0.268933333,0.01978,0.1634,-0.205925768,30.93333333
01/10/1993,0.002285219,0.106137374,0.229666667,-0.290469697,-0.003666667,-0.229666667,0.016632576,0.16969697,-1.43261284,26.35
01/11/1993,0.006442372,0.112033333,0.179837879,-0.291145455,0.040228788,-0.279837879,0.01238697,0.177301515,-0.620324153,22.08333333
01/12/1993,0.01,0.051904762,0.098513095,-0.189488095,-0.005420635,-0.238188095,0.0929,0.13303254,-0.23841814,16.31666667
01/01/1994,0.118749432,0.097200397,0.132053571,-0.228738095,0.039577381,-0.132053571,0.109007937,0.136607143,0.017615559,13.98333333
01/02/1994,0.077160442,0.006958333,0.185444444,-0.191986111,-0.046041667,-0.185444444,0.012626389,0.105986111,-0.098399787,15.31666667
01/03/1994,0.043077716,0.037589744,0.219005342,-0.256186966,-0.030286325,-0.219005342,0.01056391,0.155086538,-0.226412089,22.71666667
01/04/1994,0.031309882,0.068004274,0.124721154,-0.19233547,0.001413462,-0.124721154,0.092508547,0.132387821,-0.3106057,26.43333333
01/05/1994,0.043384218,0.146916667,0.100041667,-0.246604167,0.066416667,-0.100041667,0.075583333,0.179270833,-0.196333686,34.11666667
01/06/1994,0.009050218,0.126772222,0.098575,-0.225058333,0.050433333,-0.298575,0.076405556,0.175102778,-0.775455579,35.75
01/07/1994,0.407209114,-0.011139394,0.283242424,0.109327273,-0.049327273,-0.083242424,0.305813333,0.059266667,0.206343021,32.35
01/08/1994,0.220353662,-0.026762698,0.22291746,0.194978571,-0.071193651,-0.22291746,0.16894127,0.125261111,0.331355747,31.43333333
